Date,Adj Close (^DJI),Volume (^DJI)
5/2/2018,23924.98047,385350000
5/3/2018,23930.15039,389240000
5/4/2018,24262.50977,329480000
5/7/2018,24357.32031,307670000
5/8/2018,24360.21094,344940000
5/9/2018,24542.53906,361580000
5/10/2018,24739.5293,304210000
5/11/2018,24831.16992,274150000
5/14/2018,24899.41016,282860000
5/15/2018,24706.41016,301900000
5/16/2018,24768.92969,280810000
5/17/2018,24713.98047,314650000
5/18/2018,24715.08984,269700000
5/21/2018,25013.28906,308920000
5/22/2018,24834.41016,288200000
5/23/2018,24886.81055,399610000
5/24/2018,24811.75977,347050000
5/25/2018,24753.08984,257210000
5/29/2018,24361.44922,395810000
5/30/2018,24667.7793,324870000
5/31/2018,24415.83984,429740000
6/1/2018,24635.21094,315710000
6/4/2018,24813.68945,340400000
6/5/2018,24799.98047,306340000
6/6/2018,25146.39063,316090000
6/7/2018,25241.41016,357680000
6/8/2018,25316.5293,317510000
6/11/2018,25322.31055,276740000
6/12/2018,25320.73047,265750000
6/13/2018,25201.19922,329700000
6/14/2018,25175.31055,341170000
6/15/2018,25090.48047,659370000
6/18/2018,24987.4707,337070000
6/19/2018,24700.21094,376380000
6/20/2018,24657.80078,359520000
6/21/2018,24461.69922,349570000
6/22/2018,24580.89063,473970000
6/25/2018,24252.80078,439130000
6/26/2018,24283.10938,301130000
6/27/2018,24117.58984,313790000
6/28/2018,24216.05078,305020000
6/29/2018,24271.41016,329070000
7/2/2018,24307.17969,244110000
7/3/2018,24174.82031,160960000
7/5/2018,24356.74023,237670000
7/6/2018,24456.48047,219450000
7/9/2018,24776.58984,240580000
7/10/2018,24919.66016,235040000
7/11/2018,24700.44922,237370000
7/12/2018,24924.89063,233150000
7/13/2018,25019.41016,255520000
7/16/2018,25064.35938,231270000
7/17/2018,25119.89063,250450000
7/18/2018,25199.28906,252870000
7/19/2018,25064.5,285760000
7/20/2018,25058.11914,274080000
7/23/2018,25044.28906,228820000
7/24/2018,25241.93945,274940000
7/25/2018,25414.09961,273670000
7/26/2018,25527.07031,297530000
7/27/2018,25451.06055,329680000
7/30/2018,25306.83008,296880000
7/31/2018,25415.18945,348700000
8/1/2018,25333.82031,315880000
8/2/2018,25326.16016,307700000
8/3/2018,25462.58008,239020000
8/6/2018,25502.17969,238990000
8/7/2018,25628.91016,239910000
8/8/2018,25583.75,217770000
8/9/2018,25509.23047,214970000
8/10/2018,25313.14063,234480000
8/13/2018,25187.69922,219990000
8/14/2018,25299.91992,219210000
8/15/2018,25162.41016,295810000
8/16/2018,25558.73047,342430000
8/17/2018,25669.32031,284160000
8/20/2018,25758.68945,248570000
8/21/2018,25822.28906,241620000
8/22/2018,25733.59961,200480000
8/23/2018,25656.98047,213270000
8/24/2018,25790.34961,200330000
8/27/2018,26049.64063,220510000
8/28/2018,26064.01953,211470000
8/29/2018,26124.57031,214960000
8/30/2018,25986.91992,240440000
8/31/2018,25964.82031,273440000
9/4/2018,25952.48047,254600000
9/5/2018,25974.99023,289210000
9/6/2018,25995.86914,262380000
9/7/2018,25916.53906,281350000
9/10/2018,25857.07031,252170000
9/11/2018,25971.06055,265960000
9/12/2018,25998.91992,282770000
9/13/2018,26145.99023,260800000
9/14/2018,26154.66992,228640000
9/17/2018,26062.11914,230230000
9/18/2018,26246.96094,243000000
9/19/2018,26405.75977,251330000
9/20/2018,26656.98047,260480000
9/21/2018,26743.5,657620000
9/24/2018,26562.05078,254850000
9/25/2018,26492.21094,234110000
9/26/2018,26385.2793,262620000
9/27/2018,26439.92969,226350000
9/28/2018,26458.31055,264030000
10/1/2018,26651.21094,238320000
10/2/2018,26773.93945,258290000
10/3/2018,26828.39063,280130000
10/4/2018,26627.48047,289600000
10/5/2018,26447.05078,267100000
10/8/2018,26486.7793,273020000
10/9/2018,26430.57031,282560000
10/10/2018,25598.74023,438200000
10/11/2018,25052.83008,522880000
10/12/2018,25339.99023,397510000
10/15/2018,25250.55078,287320000
10/16/2018,25798.41992,305800000
10/17/2018,25706.67969,298210000
10/18/2018,25379.44922,328020000
10/19/2018,25444.33984,350810000
10/22/2018,25317.41016,314940000
10/23/2018,25191.42969,436430000
10/24/2018,24583.41992,496400000
10/25/2018,24984.55078,439670000
10/26/2018,24688.31055,505310000
10/29/2018,24442.91992,443850000
10/30/2018,24874.64063,470050000
10/31/2018,25115.75977,448930000
11/1/2018,25380.74023,383970000
11/2/2018,25270.83008,429480000
11/5/2018,25461.69922,334740000
11/6/2018,25635.00977,265450000
11/7/2018,26180.30078,361780000
11/8/2018,26191.2207,295650000
11/9/2018,25989.30078,324450000
11/12/2018,25387.17969,346910000
11/13/2018,25286.49023,339690000
11/14/2018,25080.5,384240000
11/15/2018,25289.26953,392750000
11/16/2018,25413.2207,354460000
11/19/2018,25017.43945,358090000
11/20/2018,24465.64063,445920000
11/21/2018,24464.68945,289370000
11/23/2018,24285.94922,155940000
11/26/2018,24640.24023,306280000
11/27/2018,24748.73047,308250000
11/28/2018,25366.42969,362160000
11/29/2018,25338.83984,305110000
11/30/2018,25538.46094,482250000
12/3/2018,25826.42969,388480000
12/4/2018,25027.07031,418900000
12/6/2018,24947.66992,471690000
12/7/2018,24388.94922,398230000
12/10/2018,24423.25977,389690000
12/11/2018,24370.24023,342960000
12/12/2018,24527.26953,344330000
12/13/2018,24597.38086,299970000
12/14/2018,24100.50977,416940000
12/17/2018,23592.98047,466740000
12/18/2018,23675.64063,408070000
12/19/2018,23323.66016,503550000
12/20/2018,22859.59961,576700000
12/21/2018,22445.36914,900510000
12/24/2018,21792.19922,308420000
12/26/2018,22878.44922,433080000
12/27/2018,23138.82031,407940000
12/28/2018,23062.40039,336510000
12/31/2018,23327.46094,288830000
1/2/2019,23346.24023,321570000
1/3/2019,22686.2207,424240000
1/4/2019,23433.16016,396020000
1/7/2019,23531.34961,334200000
1/8/2019,23787.44922,317420000
1/9/2019,23879.11914,324570000
1/10/2019,24001.91992,338150000
1/11/2019,23995.94922,262650000
1/14/2019,23909.83984,277560000
1/15/2019,24065.58984,291570000
1/16/2019,24207.16016,302830000
1/17/2019,24370.09961,288590000
1/18/2019,24706.34961,372970000
1/22/2019,24404.48047,338480000
1/23/2019,24575.61914,318600000
1/24/2019,24553.24023,320170000
1/25/2019,24737.19922,376890000
1/28/2019,24528.2207,347170000
1/29/2019,24579.96094,330870000
1/30/2019,25014.85938,397330000
1/31/2019,24999.66992,507350000
2/1/2019,25063.89063,372090000
2/4/2019,25239.36914,298540000
2/5/2019,25411.51953,310650000
2/6/2019,25390.30078,247590000
2/7/2019,25169.5293,295460000
2/8/2019,25106.33008,248210000
2/11/2019,25053.10938,241700000
2/12/2019,25425.75977,278110000
2/13/2019,25543.26953,263330000
2/14/2019,25439.39063,313010000
2/15/2019,25883.25,328530000
2/19/2019,25891.32031,280620000
2/20/2019,25954.43945,287880000
2/21/2019,25850.63086,255710000
2/22/2019,26031.81055,279760000
2/25/2019,26091.94922,281600000
2/26/2019,26057.98047,257850000
2/27/2019,25985.16016,255380000
2/28/2019,25916,338520000
3/1/2019,26026.32031,289890000
3/4/2019,25819.65039,295510000
3/5/2019,25806.63086,252260000
3/6/2019,25673.46094,256250000
3/7/2019,25473.23047,289140000
3/8/2019,25450.24023,270500000
3/11/2019,25650.88086,309790000
3/12/2019,25554.66016,317730000
3/13/2019,25702.89063,331410000
3/14/2019,25709.93945,302790000
3/15/2019,25848.86914,616910000
3/18/2019,25914.09961,399530000
3/19/2019,25887.38086,342250000
3/20/2019,25745.66992,321980000
3/21/2019,25962.50977,335250000
3/22/2019,25502.32031,386510000
3/25/2019,25516.83008,303120000
3/26/2019,25657.73047,305110000
3/27/2019,25625.58984,270340000
3/28/2019,25717.46094,237170000
3/29/2019,25928.67969,300620000
4/1/2019,26258.41992,295570000
4/2/2019,26179.13086,250940000
4/3/2019,26218.13086,271980000
4/4/2019,26384.63086,233040000
4/5/2019,26424.99023,229550000
4/8/2019,26341.01953,229380000
4/9/2019,26150.58008,244410000
4/10/2019,26157.16016,203130000
4/11/2019,26143.05078,211680000
4/12/2019,26412.30078,369910000
4/15/2019,26384.76953,250620000
4/16/2019,26452.66016,302340000
4/17/2019,26449.53906,367780000
4/18/2019,26559.53906,332850000
4/22/2019,26511.05078,232570000
4/23/2019,26656.39063,311690000
4/24/2019,26597.05078,283370000
4/25/2019,26462.08008,296730000
4/26/2019,26543.33008,317290000
4/29/2019,26554.39063,279450000
4/30/2019,26592.91016,340320000
5/1/2019,26430.14063,303850000
5/2/2019,26307.78906,287610000
5/3/2019,26504.94922,248900000
5/6/2019,26438.48047,283020000
5/7/2019,25965.08984,334960000
5/8/2019,25967.33008,276420000
5/9/2019,25828.35938,334760000
5/10/2019,25942.36914,294580000
5/13/2019,25324.99023,361240000
5/14/2019,25532.05078,291570000
5/15/2019,25648.01953,270720000
5/16/2019,25862.67969,320960000
5/17/2019,25764,283760000
5/20/2019,25679.90039,279560000
5/21/2019,25877.33008,260870000
5/22/2019,25776.60938,241760000
5/23/2019,25490.4707,316940000
5/24/2019,25585.68945,201370000
5/28/2019,25347.76953,358980000
5/29/2019,25126.41016,298930000
5/30/2019,25169.88086,215240000
5/31/2019,24815.03906,292230000
6/3/2019,24819.7793,328240000
6/4/2019,25332.17969,281690000
6/5/2019,25539.57031,262660000
6/6/2019,25720.66016,248070000
6/7/2019,25983.93945,263010000
6/10/2019,26062.67969,249280000
6/11/2019,26048.50977,253490000
6/12/2019,26004.83008,223690000
6/13/2019,26106.76953,213400000
6/14/2019,26089.60938,208020000
6/17/2019,26112.5293,199500000
6/18/2019,26465.53906,273490000
6/19/2019,26504,240950000
6/20/2019,26753.16992,278170000
6/21/2019,26719.13086,485560000
6/24/2019,26727.53906,232390000
6/25/2019,26548.2207,282160000
6/26/2019,26536.82031,274340000
6/27/2019,26526.58008,246930000
6/28/2019,26599.96094,499350000
7/1/2019,26717.42969,267670000
7/2/2019,26786.67969,219270000
7/3/2019,26966,149840000
7/5/2019,26922.11914,192170000
7/8/2019,26806.14063,214290000
7/9/2019,26783.49023,218330000
7/10/2019,26860.19922,207990000
7/11/2019,27088.08008,252300000
7/12/2019,27332.0293,248390000
7/15/2019,27359.16016,199730000
7/16/2019,27335.63086,226000000
7/17/2019,27219.84961,193930000
7/18/2019,27222.9707,216070000
7/19/2019,27154.19922,287690000
7/22/2019,27171.90039,216310000
7/23/2019,27349.18945,248850000
7/24/2019,27269.9707,244320000
7/25/2019,27140.98047,241420000
7/26/2019,27192.44922,233650000
7/29/2019,27221.34961,250850000
7/30/2019,27198.01953,293250000
7/31/2019,26864.26953,385150000
8/1/2019,26583.41992,386320000
8/2/2019,26485.00977,327640000
8/5/2019,25717.74023,422240000
8/6/2019,26029.51953,318160000
8/7/2019,26007.07031,344790000
8/8/2019,26378.18945,282530000
8/9/2019,26287.43945,240260000
8/12/2019,25896.43945,199390000
8/13/2019,26279.91016,308900000
8/14/2019,25479.41992,352250000
8/15/2019,25579.39063,332600000
8/16/2019,25886.00977,276210000
8/19/2019,26135.78906,252640000
8/20/2019,25962.43945,238100000
8/21/2019,26202.73047,208790000
8/22/2019,26252.24023,222810000
8/23/2019,25628.90039,364260000
8/26/2019,25898.83008,222780000
8/27/2019,25777.90039,263530000
8/28/2019,26036.09961,207070000
8/29/2019,26362.25,208650000
8/30/2019,26403.2793,2190810000
9/3/2019,26118.01953,223210000
9/4/2019,26355.4707,202710000
9/5/2019,26728.15039,256670000
9/6/2019,26797.46094,209700000
9/9/2019,26835.50977,273120000
9/10/2019,26909.42969,322340000
9/11/2019,27137.03906,272590000
9/12/2019,27182.44922,250010000
9/13/2019,27219.51953,255260000
9/16/2019,27076.82031,220620000
9/17/2019,27110.80078,223580000
9/18/2019,27147.08008,212860000
9/19/2019,27094.78906,212360000
9/20/2019,26935.07031,497640000
9/23/2019,26949.99023,204240000
9/24/2019,26807.76953,301750000
9/25/2019,26970.71094,237220000
9/26/2019,26891.11914,229180000
9/27/2019,26820.25,217780000
9/30/2019,26916.83008,222680000
10/1/2019,26573.03906,260110000
10/2/2019,26078.61914,309640000
10/3/2019,26201.03906,241610000
10/4/2019,26573.7207,221310000
10/7/2019,26478.01953,195200000
10/8/2019,26164.03906,244590000
10/9/2019,26346.00977,190060000
10/10/2019,26496.66992,217680000
10/11/2019,26816.58984,282080000
10/14/2019,26787.35938,178620000
10/15/2019,27024.80078,245510000
10/16/2019,27001.98047,214660000
10/17/2019,27025.88086,222540000
10/18/2019,26770.19922,288970000
10/21/2019,26827.64063,241030000
10/22/2019,26788.09961,265510000
10/23/2019,26833.94922,247680000
10/24/2019,26805.5293,253590000
10/25/2019,26958.06055,274610000
10/28/2019,27090.7207,290770000
10/29/2019,27071.46094,269610000
10/30/2019,27186.68945,231750000
10/31/2019,27046.23047,270910000
11/1/2019,27347.35938,270870000
11/4/2019,27462.10938,273030000
11/5/2019,27492.63086,286350000
11/6/2019,27492.56055,237910000
11/7/2019,27674.80078,259020000
11/8/2019,27681.24023,221440000
11/11/2019,27691.49023,202350000
11/12/2019,27691.49023,213670000
11/13/2019,27783.58984,278390000
11/14/2019,27781.96094,303970000
11/15/2019,28004.89063,283720000
11/18/2019,28036.2207,252320000
11/19/2019,27934.01953,245890000
11/20/2019,27821.08984,258140000
11/21/2019,27766.28906,232020000
11/22/2019,27875.61914,214780000
11/25/2019,28066.4707,248420000
11/26/2019,28121.67969,324050000
11/27/2019,28164,198210000
11/29/2019,28051.41016,120630000
12/2/2019,27783.03906,236610000
12/3/2019,27502.81055,275350000
12/4/2019,27649.7793,218200000
12/5/2019,27677.78906,208600000
12/6/2019,28015.06055,223310000
12/9/2019,27909.59961,217000000
12/10/2019,27881.7207,213250000
12/11/2019,27911.30078,213510000
12/12/2019,28132.05078,277740000
12/13/2019,28135.38086,250660000
12/16/2019,28235.89063,286770000
12/17/2019,28267.16016,286770000
12/18/2019,28239.2793,289890000
12/19/2019,28376.96094,262570000
12/20/2019,28455.08984,603780000
12/23/2019,28551.5293,223530000
12/24/2019,28515.44922,86150000
12/26/2019,28621.39063,155970000
12/27/2019,28645.25977,182280000
12/30/2019,28462.14063,181600000
12/31/2019,28538.43945,193340000
1/2/2020,28868.80078,251820000
1/3/2020,28634.88086,239590000
1/6/2020,28703.38086,252760000
1/7/2020,28583.67969,258900000
1/8/2020,28745.08984,291750000
1/9/2020,28956.90039,275060000
1/10/2020,28823.76953,237830000
1/13/2020,28907.05078,249830000
1/14/2020,28939.66992,287440000
1/15/2020,29030.2207,260270000
1/16/2020,29297.64063,252110000
1/17/2020,29348.09961,321820000
1/21/2020,29196.03906,320640000
1/22/2020,29186.26953,283440000
1/23/2020,29160.08984,307060000
1/24/2020,28989.73047,380010000
1/27/2020,28535.80078,337270000
1/28/2020,28722.84961,330140000
1/29/2020,28734.44922,302290000
1/30/2020,28859.43945,326850000
1/31/2020,28256.0293,403890000
2/3/2020,28399.81055,307910000
2/4/2020,28807.63086,332750000
2/5/2020,29290.84961,357540000
2/6/2020,29379.76953,263700000
2/7/2020,29102.50977,252860000
2/10/2020,29276.82031,250510000
2/11/2020,29276.33984,279540000
2/12/2020,29551.41992,309530000
2/13/2020,29423.31055,291150000
2/14/2020,29398.08008,231000000
2/18/2020,29232.18945,256600000
2/19/2020,29348.0293,240640000
2/20/2020,29219.98047,287780000
2/21/2020,28992.41016,311210000
2/24/2020,27960.80078,452580000
2/25/2020,27081.35938,513270000
2/26/2020,26957.58984,472450000
2/27/2020,25766.64063,664980000
2/28/2020,25409.35938,915990000
3/2/2020,26703.32031,637200000
3/3/2020,25917.41016,647080000
3/4/2020,27090.85938,457590000
3/5/2020,26121.2793,477370000
3/6/2020,25864.7793,599780000
3/9/2020,23851.01953,750430000
3/10/2020,25018.16016,654860000
3/11/2020,23553.2207,663960000
3/12/2020,21200.61914,908260000
3/13/2020,23185.61914,843080000
3/16/2020,20188.51953,770130000
3/17/2020,21237.38086,793060000
3/18/2020,19898.91992,871360000
3/19/2020,20087.18945,780300000
3/20/2020,19173.98047,872290000
3/23/2020,18591.92969,787970000
3/24/2020,20704.91016,799340000
3/25/2020,21200.55078,796320000
3/26/2020,22552.16992,705180000
3/27/2020,21636.7793,588830000
3/30/2020,22327.48047,545540000
3/31/2020,21917.16016,571210000
4/1/2020,20943.50977,506680000
4/2/2020,21413.43945,529540000
